KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
VKLFZX,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda,GL 160 D,2010,Hitam,3535000
WKH1OX,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda, CB15A1RRF M/T,2013,Hitam,5325000
TBDWEL,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,SUPRA X,2007,Hitam,1300000
I6YGOS,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,GL15A10,2012,Hitam,4642000
HUUFR0,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,Revo Absolute,2009,Hitam Biru,4650000
CH2NGB,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,NF 125 TR,2011,Violet Hitam,9700000
HDAQOY,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Kawasaki,KLX,2011,Hijau,8000000
FMIWOM,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,Revo Absolute,2009,Biru,2940000
AHJNEB,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,NF 125 TR,2011,Hijau Silver,2255000
EJNR0L,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,GL 160 D,2009,Putih Hitam,1725000
EGKTL4,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,Revo Absolute,2009,Biru,2275000
86FLIY,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Yamaha,VIXION,2012,Hitam,2500000
3JSFLZ,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,Revo Absolute,2009,Biru,2105000
MV0JXS,Motor ,2024,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Yamaha, JUPITER MX,2012,Hitam,4350000
